run_number,job_name,tool,phase,build_s,job_total_s,build_share,run_id
2,marp_build,none,baseline,24.000,35.000,0.686,18685305669
3,marp_build,cachix,first,28.000,46.000,0.609,18685389246
4,marp_build,cachix,second,26.000,41.000,0.634,18685468935
7,marp_build,cache-nix-action,first,22.000,42.000,0.524,18685931719
8,marp_build,cache-nix-action,second,10.000,26.000,0.385,18685999306
9,marp_build,magic-nix-cache,first,31.000,685.000,0.045,18686193834
10,marp_build,magic-nix-cache,second,46.000,71.000,0.648,18687785105
2,zenn_build,none,baseline,53.000,62.000,0.855,18685305669
3,zenn_build,cachix,first,74.000,130.000,0.569,18685389246
4,zenn_build,cachix,second,30.000,51.000,0.588,18685468935
7,zenn_build,cache-nix-action,first,99.000,122.000,0.811,18685931719
8,zenn_build,cache-nix-action,second,8.000,32.000,0.250,18685999306
9,zenn_build,magic-nix-cache,first,68.000,639.000,0.106,18686193834
10,zenn_build,magic-nix-cache,second,53.000,92.000,0.576,18687785105
